year,country,region1,continent,happiness_rank,happiness_score,economy,family,life_expectancy,freedom,govt_trust,generosity,dystopia_residual
2015,Suriname,South America,South America,40,6.269,0.99534,0.972,0.6082,0.5965699999999999,0.13633,0.16990999999999998,2.79094
2015,Trinidad and Tobago,Caribbean,North America,41,6.167999999999999,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,2.2688200000000003
2015,El Salvador,Central America,North America,42,6.13,0.76454,1.0250700000000001,0.67737,0.4035,0.11775999999999999,0.10692,3.035
2015,Guatemala,Central America,North America,43,6.122999999999999,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,2.74255
2015,Uzbekistan,Central Asia,Asia,44,6.002999999999999,0.63244,1.34043,0.59772,0.6582100000000001,0.30826,0.22837,2.2374099999999997
2015,Slovakia,Eastern Europe,Europe,45,5.995,1.1689100000000001,1.26999,0.7890199999999999,0.31751,0.03431,0.16893,2.2463900000000003
2015,Japan,Eastern Asia,Asia,46,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,1.68435
2015,South Korea,Eastern Asia,Asia,47,5.984,1.24461,0.9577399999999999,0.9653799999999999,0.33208000000000004,0.07857,0.18557,2.21978
2015,Ecuador,South America,South America,48,5.975,0.8640200000000001,0.99903,0.79075,0.48573999999999995,0.1809,0.11540999999999998,2.5394200000000002
2015,Bahrain,Western Asia,Asia,49,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,1.73797
2015,Italy,Southern Europe,Europe,50,5.9479999999999995,1.25114,1.19777,0.9544600000000001,0.26236,0.02901,0.22823000000000002,2.0251799999999998
2015,Bolivia,South America,South America,51,5.89,0.68133,0.97841,0.5392,0.57414,0.08800000000000001,0.20536,2.82334
2015,Moldova,Eastern Europe,Europe,52,5.888999999999999,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,3.10712
2015,Paraguay,South America,South America,53,5.877999999999999,0.75985,1.30477,0.66098,0.53899,0.08242000000000001,0.3424,2.18896
2015,Kazakhstan,Central Asia,Asia,54,5.855,1.1225399999999999,1.1224100000000001,0.64368,0.51649,0.08454,0.11827,2.24729
2015,Slovenia,Southern Europe,Europe,55,5.848,1.18498,1.27385,0.8733700000000001,0.60855,0.03787,0.25328,1.6158299999999999
2015,Lithuania,Northern Europe,Europe,56,5.832999999999999,1.14723,1.25745,0.73128,0.21341999999999997,0.01031,0.026410000000000003,2.4464900000000003
2015,Nicaragua,Central America,North America,57,5.827999999999999,0.59325,1.14184,0.7431399999999999,0.55475,0.19317,0.27815,2.32407
