country,region1,region2,continent,happiness_rank,happiness_score,economy,family,life_expectancy,freedom,govt_trust,generosity,dystopia_residual
Jordan,Western Asia,N/A,Asia,101,4.906,0.837,1.225,0.815,0.383,0.13,0.11,1.406
Benin,Western Africa,Sub-Saharan Africa,Africa,102,4.883,0.393,0.437,0.397,0.349,0.082,0.175,3.05
Congo (Brazzaville),Middle Africa,Sub-Saharan Africa,Africa,103,4.812,0.673,0.799,0.508,0.372,0.093,0.105,2.262
Gabon,Middle Africa,Sub-Saharan Africa,Africa,104,4.799,1.057,1.183,0.571,0.295,0.055,0.043,1.595
Laos,South-eastern Asia,N/A,Asia,105,4.796,0.764,1.03,0.551,0.547,0.164,0.266,1.474
South Africa,Southern Africa,Sub-Saharan Africa,Africa,106,4.722,0.96,1.351,0.469,0.389,0.055,0.13,1.368
Albania,Southern Europe,N/A,Europe,107,4.719,0.947,0.848,0.874,0.383,0.027,0.178,1.462
Venezuela,South America,Latin America and the Caribbean,South America,108,4.707,0.96,1.427,0.805,0.154,0.047,0.064,1.25
Cambodia,South-eastern Asia,N/A,Asia,109,4.7,0.574,1.122,0.637,0.609,0.062,0.232,1.464
Palestinian Territories,Western Asia,N/A,Asia,110,4.696,0.657,1.247,0.672,0.225,0.066,0.103,1.726
Senegal,Western Africa,Sub-Saharan Africa,Africa,111,4.681,0.45,1.134,0.571,0.292,0.072,0.153,2.009
Somalia,Eastern Africa,Sub-Saharan Africa,Africa,112,4.668,0,0.698,0.268,0.559,0.27,0.243,2.63
Namibia,Southern Africa,Sub-Saharan Africa,Africa,113,4.639,0.879,1.313,0.477,0.401,0.056,0.07,1.443
Niger,Western Africa,Sub-Saharan Africa,Africa,114,4.628,0.138,0.774,0.366,0.318,0.102,0.188,2.742
Burkina Faso,Western Africa,Sub-Saharan Africa,Africa,115,4.587,0.331,1.056,0.38,0.255,0.113,0.177,2.275
Armenia,Western Asia,N/A,Asia,116,4.559,0.85,1.055,0.815,0.283,0.064,0.095,1.397
Iran,Southern Asia,N/A,Asia,117,4.548,1.1,0.842,0.785,0.305,0.125,0.27,1.121
Guinea,Western Africa,Sub-Saharan Africa,Africa,118,4.534,0.38,0.829,0.375,0.332,0.086,0.207,2.325
Georgia,Western Asia,N/A,Asia,119,4.519,0.886,0.666,0.752,0.346,0.164,0.043,1.662
Gambia,Western Africa,Sub-Saharan Africa,Africa,120,4.516,0.308,0.939,0.428,0.382,0.167,0.269,2.023
Kenya,Eastern Africa,Sub-Saharan Africa,Africa,121,4.509,0.512,0.983,0.581,0.431,0.053,0.372,1.577
Mauritania,Western Africa,Sub-Saharan Africa,Africa,122,4.49,0.57,1.167,0.489,0.066,0.088,0.106,2.004
Mozambique,Eastern Africa,Sub-Saharan Africa,Africa,123,4.466,0.204,0.986,0.39,0.494,0.138,0.197,2.057
Tunisia,Northern Africa,N/A,Africa,124,4.461,0.921,1,0.815,0.167,0.055,0.059,1.444
Bangladesh,Southern Asia,N/A,Asia,125,4.456,0.562,0.928,0.723,0.527,0.143,0.166,1.407
Iraq,Western Asia,N/A,Asia,126,4.437,1.043,0.98,0.574,0.241,0.089,0.148,1.362
Congo (Kinshasa),Middle Africa,Sub-Saharan Africa,Africa,127,4.418,0.094,1.125,0.357,0.269,0.053,0.212,2.308
Mali,Western Africa,Sub-Saharan Africa,Africa,128,4.39,0.385,1.105,0.308,0.327,0.052,0.153,2.06
Sierra Leone,Western Africa,Sub-Saharan Africa,Africa,129,4.374,0.268,0.841,0.242,0.309,0.045,0.252,2.417
Sri Lanka,Southern Asia,N/A,Asia,130,4.366,0.949,1.265,0.831,0.47,0.047,0.244,0.56
