country,region1,region2,continent,happiness_rank,happiness_score,economy,family,life_expectancy,freedom,govt_trust,generosity,dystopia_residual
Finland,Northern Europe,N/A,Europe,1,7.632,1.305,1.592,0.874,0.681,0.393,0.202,2.585
Norway,Northern Europe,N/A,Europe,2,7.594,1.456,1.582,0.861,0.686,0.34,0.286,2.383
Denmark,Northern Europe,N/A,Europe,3,7.555,1.351,1.59,0.868,0.683,0.408,0.284,2.371
Iceland,Northern Europe,N/A,Europe,4,7.495,1.343,1.644,0.914,0.677,0.138,0.353,2.426
Switzerland,Western Europe,N/A,Europe,5,7.487,1.42,1.549,0.927,0.66,0.357,0.256,2.318
Netherlands,Western Europe,N/A,Europe,6,7.441,1.361,1.488,0.878,0.638,0.295,0.333,2.448
Canada,Northern America,N/A,North America,7,7.328,1.33,1.532,0.896,0.653,0.291,0.321,2.305
New Zealand,Australia and New Zealand,N/A,Oceania,8,7.324,1.268,1.601,0.876,0.669,0.389,0.365,2.156
Sweden,Northern Europe,N/A,Europe,9,7.314,1.355,1.501,0.913,0.659,0.383,0.285,2.218
Australia,Australia and New Zealand,N/A,Oceania,10,7.272,1.34,1.573,0.91,0.647,0.302,0.361,2.139
United Kingdom,Northern Europe,N/A,Europe,11,7.19,1.244,1.433,0.888,0.464,0.082,0.262,2.817
Austria,Western Europe,N/A,Europe,12,7.139,1.341,1.504,0.891,0.617,0.224,0.242,2.32
Costa Rica,Central America,Latin America and the Caribbean,North America,13,7.072,1.01,1.459,0.817,0.632,0.101,0.143,2.91
Ireland,Northern Europe,N/A,Europe,14,6.977,1.448,1.583,0.876,0.614,0.306,0.307,1.843
Germany,Western Europe,N/A,Europe,15,6.965,1.34,1.474,0.861,0.586,0.28,0.273,2.151
Belgium,Western Europe,N/A,Europe,16,6.927,1.324,1.483,0.894,0.583,0.24,0.188,2.215
Luxembourg,Western Europe,N/A,Europe,17,6.91,1.576,1.52,0.896,0.632,0.321,0.196,1.769
United States,Northern America,N/A,North America,18,6.886,1.398,1.471,0.819,0.547,0.133,0.291,2.227
Israel,Western Asia,N/A,Asia,19,6.814,1.301,1.559,0.883,0.533,0.272,0.354,1.912
United Arab Emirates,Western Asia,N/A,Asia,20,6.774,2.096,0.776,0.67,0.284,0,0.186,2.762
Czech Republic,Eastern Europe,N/A,Europe,21,6.711,1.233,1.489,0.854,0.543,0.034,0.064,2.494
Malta,Southern Europe,N/A,Europe,22,6.627,1.27,1.525,0.884,0.645,0.142,0.376,1.785
France,Western Europe,N/A,Europe,23,6.489,1.293,1.466,0.908,0.52,0.176,0.098,2.028
Mexico,Central America,Latin America and the Caribbean,North America,24,6.488,1.038,1.252,0.761,0.479,0.095,0.069,2.794
Chile,South America,Latin America and the Caribbean,South America,25,6.476,1.131,1.331,0.808,0.431,0.061,0.197,2.517
Taiwan,Eastern Asia,N/A,Asia,26,6.441,1.365,1.436,0.857,0.418,0.078,0.151,2.136
Panama,Central America,Latin America and the Caribbean,North America,27,6.43,1.112,1.438,0.759,0.597,0.063,0.125,2.336
