country,region1,region2,continent,happiness_rank,happiness_score,economy,family,life_expectancy,freedom,govt_trust,generosity,dystopia_residual
Brazil,South America,Latin America and the Caribbean,South America,28,6.419,0.986,1.474,0.675,0.493,0.088,0.11,2.593
Argentina,South America,Latin America and the Caribbean,South America,29,6.388,1.073,1.468,0.744,0.57,0.054,0.062,2.417
Guatemala,Central America,Latin America and the Caribbean,North America,30,6.382,0.781,1.268,0.608,0.604,0.071,0.179,2.871
Uruguay,South America,Latin America and the Caribbean,South America,31,6.379,1.093,1.459,0.771,0.625,0.155,0.13,2.146
Qatar,Western Asia,N/A,Asia,32,6.374,1.649,1.303,0.748,0.654,0.171,0.256,1.593
Saudi Arabia,Western Asia,N/A,Asia,33,6.371,1.379,1.331,0.633,0.509,0.127,0.098,2.294
Singapore,South-eastern Asia,N/A,Asia,34,6.343,1.529,1.451,1.008,0.631,0.457,0.261,1.006
Malaysia,South-eastern Asia,N/A,Asia,35,6.322,1.161,1.258,0.669,0.356,0.059,0.311,2.508
Spain,Southern Europe,N/A,Europe,36,6.31,1.251,1.538,0.965,0.449,0.074,0.142,1.891
Colombia,South America,Latin America and the Caribbean,South America,37,6.26,0.96,1.439,0.635,0.531,0.039,0.099,2.557
Trinidad & Tobago,Caribbean,Latin America and the Caribbean,North America,38,6.192,1.223,1.492,0.564,0.575,0.019,0.171,2.148
Slovakia,Eastern Europe,N/A,Europe,39,6.173,1.21,1.537,0.776,0.354,0.014,0.118,2.164
El Salvador,Central America,Latin America and the Caribbean,North America,40,6.167,0.806,1.231,0.639,0.461,0.082,0.065,2.883
Nicaragua,Central America,Latin America and the Caribbean,North America,41,6.141,0.668,1.319,0.7,0.527,0.128,0.208,2.591
Poland,Eastern Europe,N/A,Europe,42,6.123,1.176,1.448,0.781,0.546,0.064,0.108,2
Bahrain,Western Asia,N/A,Asia,43,6.105,1.338,1.366,0.698,0.594,0.123,0.243,1.743
Uzbekistan,Central Asia,N/A,Asia,44,6.096,0.719,1.584,0.605,0.724,0.259,0.328,1.877
Kuwait,Western Asia,N/A,Asia,45,6.083,1.474,1.301,0.675,0.554,0.106,0.167,1.806
Thailand,South-eastern Asia,N/A,Asia,46,6.072,1.016,1.417,0.707,0.637,0.029,0.364,1.902
Italy,Southern Europe,N/A,Europe,47,6,1.264,1.501,0.946,0.281,0.028,0.137,1.843
Ecuador,South America,Latin America and the Caribbean,South America,48,5.973,0.889,1.33,0.736,0.556,0.12,0.114,2.228
Belize,Central America,Latin America and the Caribbean,North America,49,5.956,0.807,1.101,0.474,0.593,0.089,0.183,2.709
Lithuania,Northern Europe,N/A,Europe,50,5.952,1.197,1.527,0.716,0.35,0.006,0.026,2.13
Slovenia,Southern Europe,N/A,Europe,51,5.948,1.219,1.506,0.856,0.633,0.051,0.16,1.523
Romania,Eastern Europe,N/A,Europe,52,5.945,1.116,1.219,0.726,0.528,0.001,0.088,2.267
Latvia,Northern Europe,N/A,Europe,53,5.933,1.148,1.454,0.671,0.363,0.066,0.092,2.139
Japan,Eastern Asia,N/A,Asia,54,5.915,1.294,1.462,0.988,0.553,0.15,0.079,1.389
Mauritius,Eastern Africa,Sub-Saharan Africa,Africa,55,5.891,1.09,1.387,0.684,0.584,0.05,0.245,1.851
Jamaica,Caribbean,Latin America and the Caribbean,North America,56,5.89,0.819,1.493,0.693,0.575,0.031,0.096,2.183
South Korea,Eastern Asia,N/A,Asia,57,5.875,1.266,1.204,0.955,0.244,0.051,0.175,1.98
Northern Cyprus,Western Europe,N/A,Europe,58,5.835,1.229,1.211,0.909,0.495,0.154,0.179,1.658
Russia,Eastern Europe,N/A,Europe,59,5.81,1.151,1.479,0.599,0.399,0.025,0.065,2.092
Kazakhstan,Central Asia,N/A,Asia,60,5.79,1.143,1.516,0.631,0.454,0.121,0.148,1.777
Cyprus,Western Asia,N/A,Asia,61,5.762,1.229,1.191,0.909,0.423,0.035,0.202,1.773
Bolivia,South America,Latin America and the Caribbean,South America,62,5.752,0.751,1.223,0.508,0.606,0.054,0.141,2.469
Estonia,Northern Europe,N/A,Europe,63,5.739,1.2,1.532,0.737,0.553,0.174,0.086,1.457
Paraguay,South America,Latin America and the Caribbean,South America,64,5.681,0.835,1.522,0.615,0.541,0.074,0.162,1.932
Peru,South America,Latin America and the Caribbean,South America,65,5.663,0.934,1.249,0.674,0.53,0.034,0.092,2.15
Kosovo,Eastern Europe,N/A,Europe,66,5.662,0.855,1.23,0.578,0.448,0.023,0.274,2.254
Moldova,Eastern Europe,N/A,Europe,67,5.64,0.657,1.301,0.62,0.232,0,0.171,2.659
Turkmenistan,Central Asia,N/A,Asia,68,5.636,1.016,1.533,0.517,0.417,0.037,0.199,1.917
Hungary,Eastern Europe,N/A,Europe,69,5.62,1.171,1.401,0.732,0.259,0.022,0.061,1.974
Libya,Northern Africa,N/A,Africa,70,5.566,0.985,1.35,0.553,0.496,0.148,0.116,1.918
Philippines,South-eastern Asia,N/A,Asia,71,5.524,0.775,1.312,0.513,0.643,0.105,0.12,2.056
Honduras,Central America,Latin America and the Caribbean,North America,72,5.504,0.62,1.205,0.622,0.459,0.074,0.197,2.327
Belarus,Eastern Europe,N/A,Europe,73,5.483,1.039,1.498,0.7,0.307,0.154,0.101,1.684
Turkey,Western Asia,N/A,Asia,74,5.483,1.148,1.38,0.686,0.324,0.109,0.106,1.73
Pakistan,Southern Asia,N/A,Asia,75,5.472,0.652,0.81,0.424,0.334,0.113,0.216,2.923
Hong Kong,Eastern Asia,N/A,Asia,76,5.43,1.405,1.29,1.03,0.524,0.291,0.246,0.644
Portugal,Southern Europe,N/A,Europe,77,5.41,1.188,1.429,0.884,0.562,0.017,0.055,1.275
Serbia,Southern Europe,N/A,Europe,78,5.398,0.975,1.369,0.685,0.288,0.043,0.134,1.904
Greece,Southern Europe,N/A,Europe,79,5.358,1.154,1.202,0.879,0.131,0.044,0,1.948
Lebanon,Western Asia,N/A,Asia,80,5.358,0.965,1.179,0.785,0.503,0.136,0.214,1.576
Montenegro,Southern Europe,N/A,Europe,81,5.347,1.017,1.279,0.729,0.259,0.081,0.111,1.871
Croatia,Southern Europe,N/A,Europe,82,5.321,1.115,1.161,0.737,0.38,0.039,0.12,1.769
Dominican Republic,Caribbean,Latin America and the Caribbean,North America,83,5.302,0.982,1.441,0.614,0.578,0.106,0.12,1.461
Algeria,Northern Africa,N/A,Africa,84,5.295,0.979,1.154,0.687,0.077,0.135,0.055,2.208
Morocco,Northern Africa,N/A,Africa,85,5.254,0.779,0.797,0.669,0.46,0.074,0.026,2.449
China,Eastern Asia,N/A,Asia,86,5.246,0.989,1.142,0.799,0.597,0.103,0.029,1.587
Azerbaijan,Western Asia,N/A,Asia,87,5.201,1.024,1.161,0.603,0.43,0.176,0.031,1.776
Tajikistan,Central Asia,N/A,Asia,88,5.199,0.474,1.166,0.598,0.292,0.034,0.187,2.448
Macedonia,Southern Europe,N/A,Europe,89,5.185,0.959,1.239,0.691,0.394,0.052,0.173,1.677
Jordan,Western Asia,N/A,Asia,90,5.161,0.822,1.265,0.645,0.468,0.134,0.13,1.697
Nigeria,Western Africa,Sub-Saharan Africa,Africa,91,5.155,0.689,1.172,0.048,0.462,0.032,0.201,2.551
Kyrgyzstan,Central Asia,N/A,Asia,92,5.131,0.53,1.416,0.594,0.54,0.035,0.281,1.735
Bosnia and Herzegovina,Southern Europe,N/A,Europe,93,5.129,0.915,1.078,0.758,0.28,0,0.216,1.882
Mongolia,Eastern Asia,N/A,Asia,94,5.125,0.914,1.517,0.575,0.395,0.032,0.253,1.439
Vietnam,South-eastern Asia,N/A,Asia,95,5.103,0.715,1.365,0.702,0.618,0.079,0.177,1.447
Indonesia,South-eastern Asia,N/A,Asia,96,5.093,0.899,1.215,0.522,0.538,0.018,0.484,1.417
Bhutan,Southern Asia,N/A,Asia,97,5.082,0.796,1.335,0.527,0.541,0.171,0.364,1.348
Somalia,Eastern Africa,Sub-Saharan Africa,Africa,98,4.982,0,0.712,0.115,0.674,0.282,0.238,2.961
Cameroon,Middle Africa,Sub-Saharan Africa,Africa,99,4.975,0.535,0.891,0.182,0.454,0.043,0.183,2.687
Bulgaria,Eastern Europe,N/A,Europe,100,4.933,1.054,1.515,0.712,0.359,0.009,0.064,1.22
Nepal,Southern Asia,N/A,Asia,101,4.88,0.425,1.228,0.539,0.526,0.078,0.302,1.782
Venezuela,South America,Latin America and the Caribbean,South America,102,4.806,0.996,1.469,0.657,0.133,0.052,0.056,1.443
Gabon,Middle Africa,Sub-Saharan Africa,Africa,103,4.758,1.036,1.164,0.404,0.356,0.052,0.032,1.714
Palestinian Territories,Western Asia,N/A,Asia,104,4.743,0.642,1.217,0.602,0.266,0.076,0.086,1.854
South Africa,Southern Africa,Sub-Saharan Africa,Africa,105,4.724,0.94,1.41,0.33,0.516,0.056,0.103,1.369
Iran,Southern Asia,N/A,Asia,106,4.707,1.059,0.771,0.691,0.459,0.129,0.282,1.316
Ivory Coast,Western Africa,Sub-Saharan Africa,Africa,107,4.671,0.541,0.872,0.08,0.467,0.103,0.146,2.462
Ghana,Western Africa,Sub-Saharan Africa,Africa,108,4.657,0.592,0.896,0.337,0.499,0.029,0.212,2.092
Senegal,Western Africa,Sub-Saharan Africa,Africa,109,4.631,0.429,1.117,0.433,0.406,0.082,0.138,2.026
Laos,South-eastern Asia,N/A,Asia,110,4.623,0.72,1.034,0.441,0.626,0.174,0.23,1.398
Tunisia,Northern Africa,N/A,Africa,111,4.592,0.9,0.906,0.69,0.271,0.063,0.04,1.722
Albania,Southern Europe,N/A,Europe,112,4.586,0.916,0.817,0.79,0.419,0.032,0.149,1.463
Sierra Leone,Western Africa,Sub-Saharan Africa,Africa,113,4.571,0.256,0.813,0,0.355,0.053,0.238,2.856
Congo (Brazzaville),Middle Africa,Sub-Saharan Africa,Africa,114,4.559,0.682,0.811,0.343,0.514,0.077,0.091,2.041
Bangladesh,Southern Asia,N/A,Asia,115,4.5,0.532,0.85,0.579,0.58,0.144,0.153,1.662
Sri Lanka,Southern Asia,N/A,Asia,116,4.471,0.918,1.314,0.672,0.585,0.05,0.307,0.625
Iraq,Western Asia,N/A,Asia,117,4.456,1.01,0.971,0.536,0.304,0.095,0.148,1.392
Mali,Western Africa,Sub-Saharan Africa,Africa,118,4.447,0.37,1.233,0.152,0.367,0.056,0.139,2.13
Namibia,Southern Africa,Sub-Saharan Africa,Africa,119,4.441,0.874,1.281,0.365,0.519,0.064,0.051,1.287
Cambodia,South-eastern Asia,N/A,Asia,120,4.433,0.549,1.088,0.457,0.696,0.065,0.256,1.322
Burkina Faso,Western Africa,Sub-Saharan Africa,Africa,121,4.424,0.314,1.097,0.254,0.312,0.128,0.175,2.144
Egypt,Northern Africa,N/A,Africa,122,4.419,0.885,1.025,0.553,0.312,0.107,0.092,1.445
Mozambique,Eastern Africa,Sub-Saharan Africa,Africa,123,4.417,0.198,0.902,0.173,0.531,0.158,0.206,2.249
Kenya,Eastern Africa,Sub-Saharan Africa,Africa,124,4.41,0.493,1.048,0.454,0.504,0.055,0.352,1.504
Zambia,Eastern Africa,Sub-Saharan Africa,Africa,125,4.377,0.562,1.047,0.295,0.503,0.082,0.221,1.667
Mauritania,Western Africa,Sub-Saharan Africa,Africa,126,4.356,0.557,1.245,0.292,0.129,0.093,0.134,1.906
Ethiopia,Eastern Africa,Sub-Saharan Africa,Africa,127,4.35,0.308,0.95,0.391,0.452,0.146,0.22,1.883
Georgia,Western Asia,N/A,Asia,128,4.34,0.853,0.592,0.643,0.375,0.215,0.038,1.624
Armenia,Western Asia,N/A,Asia,129,4.321,0.816,0.99,0.666,0.26,0.028,0.077,1.484
Myanmar,South-eastern Asia,N/A,Asia,130,4.308,0.682,1.174,0.429,0.58,0.178,0.598,0.667
Chad,Middle Africa,Sub-Saharan Africa,Africa,131,4.301,0.358,0.907,0.053,0.189,0.06,0.181,2.553
Congo (Kinshasa),Middle Africa,Sub-Saharan Africa,Africa,132,4.245,0.069,1.136,0.204,0.312,0.052,0.197,2.275
India,Southern Asia,N/A,Asia,133,4.19,0.721,0.747,0.485,0.539,0.093,0.172,1.433
Niger,Western Africa,Sub-Saharan Africa,Africa,134,4.166,0.131,0.867,0.221,0.39,0.099,0.175,2.283
Uganda,Eastern Africa,Sub-Saharan Africa,Africa,135,4.161,0.322,1.09,0.237,0.45,0.061,0.259,1.742
Benin,Western Africa,Sub-Saharan Africa,Africa,136,4.141,0.378,0.372,0.24,0.44,0.067,0.163,2.481
Sudan,Northern Africa,N/A,Africa,137,4.139,0.605,1.24,0.312,0.016,0.082,0.134,1.75
Ukraine,Eastern Europe,N/A,Europe,138,4.103,0.793,1.413,0.609,0.163,0.011,0.187,0.927
Togo,Western Africa,Sub-Saharan Africa,Africa,139,3.999,0.259,0.474,0.253,0.434,0.101,0.158,2.32
Guinea,Western Africa,Sub-Saharan Africa,Africa,140,3.964,0.344,0.792,0.211,0.394,0.094,0.185,1.944
Lesotho,Southern Africa,Sub-Saharan Africa,Africa,141,3.808,0.472,1.215,0.079,0.423,0.112,0.116,1.391
Angola,Middle Africa,Sub-Saharan Africa,Africa,142,3.795,0.73,1.125,0.269,0,0.061,0.079,1.531
Madagascar,Eastern Africa,Sub-Saharan Africa,Africa,143,3.774,0.262,0.908,0.402,0.221,0.049,0.155,1.777
Zimbabwe,Eastern Africa,Sub-Saharan Africa,Africa,144,3.692,0.357,1.094,0.248,0.406,0.099,0.132,1.356
Afghanistan,Southern Asia,N/A,Asia,145,3.632,0.332,0.537,0.255,0.085,0.036,0.191,2.196
Botswana,Southern Africa,Sub-Saharan Africa,Africa,146,3.59,1.017,1.174,0.417,0.557,0.092,0.042,0.291
Malawi,Eastern Africa,Sub-Saharan Africa,Africa,147,3.587,0.186,0.541,0.306,0.531,0.08,0.21,1.733
Haiti,Caribbean,Latin America and the Caribbean,North America,148,3.582,0.315,0.714,0.289,0.025,0.104,0.392,1.743
Liberia,Western Africa,Sub-Saharan Africa,Africa,149,3.495,0.076,0.858,0.267,0.419,0.03,0.206,1.639
Syria,Western Asia,N/A,Asia,150,3.462,0.689,0.382,0.539,0.088,0.144,0.376,1.244
Rwanda,Eastern Africa,Sub-Saharan Africa,Africa,151,3.408,0.332,0.896,0.4,0.636,0.444,0.2,0.5
Yemen,Western Asia,N/A,Asia,152,3.355,0.442,1.073,0.343,0.244,0.064,0.083,1.106
Tanzania,Eastern Africa,Sub-Saharan Africa,Africa,153,3.303,0.455,0.991,0.381,0.481,0.097,0.27,0.628
South Sudan,Eastern Africa,Sub-Saharan Africa,Africa,154,3.254,0.337,0.608,0.177,0.112,0.106,0.224,1.69
Central African Republic,Middle Africa,Sub-Saharan Africa,Africa,155,3.083,0.024,0,0.01,0.305,0.038,0.218,2.488
Burundi,Eastern Africa,Sub-Saharan Africa,Africa,156,2.905,0.091,0.627,0.145,0.065,0.076,0.149,1.752
